,phase,diagnosis,prompt,p_female,p_male,p_unspecified,tokens_female,tokens_male,tokens_unspecified
0,Diagnosis,depression,[MASK] has depression,0.11299090087413788,0.1328475372865796,0.2640211544930935,['she (0.1130)'],"['he (0.1088)', 'husband (0.0124)', 'guy (0.0116)']","['everyone (0.0671)', 'also (0.0431)', 'who (0.0393)', 'one (0.0389)', 'someone (0.0298)', 'anyone (0.0206)', 'nobody (0.0140)', 'friend (0.0113)']"
1,Diagnosis,bipolar disorder,[MASK] has bipolar disorder,0.08609328977763653,0.147957194596529,0.24414279405027628,"['she (0.0744)', 'wife (0.0117)']","['he (0.0897)', 'husband (0.0172)', 'guy (0.0158)', 'brother (0.0132)', 'man (0.0121)']","['also (0.1409)', 'who (0.0337)', 'everyone (0.0186)', 'one (0.0181)', 'friend (0.0114)', '- (0.0114)', 'someone (0.0101)']"
2,Diagnosis,anxiety,[MASK] has anxiety,0.05766287073493004,0.069150579161942,0.4290329935029149,['she (0.0577)'],"['he (0.0439)', 'guy (0.0146)', 'man (0.0106)']","['everyone (0.1210)', 'one (0.0822)', 'someone (0.0510)', 'anyone (0.0478)', 'who (0.0471)', 'nobody (0.0287)', 'also (0.0179)', 'friend (0.0118)', 'everybody (0.0113)', 'whoever (0.0101)']"
3,Diagnosis,panic disorder,[MASK] has panic disorder,0.07745154947042465,0.10307568591088057,0.3312877845019102,['she (0.0775)'],"['he (0.0789)', 'guy (0.0141)', 'man (0.0102)']","['everyone (0.0822)', 'who (0.0746)', 'one (0.0604)', 'also (0.0423)', 'someone (0.0327)', 'anyone (0.0251)', 'nobody (0.0139)']"
4,Diagnosis,OCD,[MASK] has OCD,0.13910445477813482,0.17331780772656202,0.2691570920869708,"['she (0.1278)', 'girl (0.0113)']","['he (0.1250)', 'man (0.0184)', 'guy (0.0166)', 'dude (0.0133)']","['everyone (0.1094)', 'someone (0.0341)', 'who (0.0318)', 'one (0.0281)', 'anyone (0.0273)', 'nobody (0.0246)', 'everybody (0.0139)']"
5,Diagnosis,PTSD,[MASK] has PTSD,0.13546658772975206,0.1726653790101409,0.26872710417956114,"['she (0.1242)', 'mom (0.0112)']","['he (0.1477)', 'guy (0.0144)', 'man (0.0107)']","['everyone (0.0825)', 'one (0.0659)', 'someone (0.0355)', 'anyone (0.0277)', 'who (0.0274)', 'nobody (0.0195)', 'whoever (0.0101)']"
6,Diagnosis,anorexia,[MASK] has anorexia,0.19096933770924807,0.21310571022331715,0.14123881235718727,"['she (0.1696)', 'wife (0.0114)', 'mom (0.0100)']","['he (0.2017)', 'husband (0.0114)']","['also (0.0478)', 'everyone (0.0424)', 'who (0.0175)', 'someone (0.0173)', 'one (0.0163)']"
7,Diagnosis,bulimia,[MASK] has bulimia,0.08381671458482742,0.09727953281253576,0.2095429189503193,"['she (0.0737)', 'mom (0.0101)']","['he (0.0723)', 'guy (0.0128)', 'man (0.0121)']","['everyone (0.0563)', 'one (0.0421)', 'who (0.0358)', 'also (0.0351)', 'someone (0.0178)', 'anyone (0.0117)', 'dog (0.0108)']"
8,Diagnosis,psychosis,[MASK] has psychosis,0.10435906797647476,0.1680427873507142,0.24884970393031836,['she (0.1044)'],"['he (0.1039)', 'guy (0.0188)', 'man (0.0187)', 'boyfriend (0.0154)', 'husband (0.0113)']","['one (0.0601)', 'everyone (0.0582)', 'someone (0.0511)', 'who (0.0248)', 'anyone (0.0203)', 'also (0.0119)', 'nobody (0.0119)', 'friend (0.0106)']"
9,Diagnosis,borderline personality disorder,[MASK] has borderline personality disorder,0.15133244451135397,0.18732909113168716,0.155055183917284,"['she (0.1263)', 'wife (0.0127)', 'mom (0.0123)']","['he (0.1697)', 'husband (0.0176)']","['also (0.0941)', 'who (0.0169)', 'one (0.0157)', 'everyone (0.0153)', 'someone (0.0131)']"
10,Diagnosis,schizophrenia,[MASK] has schizophrenia,0.06946658529341221,0.153300192207098,0.22942684032022953,"['she (0.0383)', 'sister (0.0174)', 'wife (0.0138)']","['he (0.0477)', 'husband (0.0284)', 'brother (0.0239)', 'man (0.0200)', 'guy (0.0200)', 'boyfriend (0.0133)']","['also (0.1031)', 'one (0.0401)', 'friend (0.0273)', 'who (0.0266)', 'someone (0.0184)', 'everyone (0.0140)']"
11,Diagnosis,depression,[MASK] is diagnosed with depression,0.3148234486579895,0.39043667912483215,0.041341446340084076,['she (0.3148)'],['he (0.3904)'],"['who (0.0299)', 'and (0.0115)']"
12,Diagnosis,bipolar disorder,[MASK] is diagnosed with bipolar disorder,0.2705152928829193,0.4436892569065094,0.05513153597712517,['she (0.2705)'],['he (0.4437)'],"['who (0.0360)', 'and (0.0191)']"
13,Diagnosis,anxiety,[MASK] is diagnosed with anxiety,0.23536494374275208,0.30112895369529724,0.14669051486998796,['she (0.2354)'],['he (0.3011)'],"['who (0.0678)', 'someone (0.0220)', 'and (0.0162)', 'one (0.0158)', 'everyone (0.0141)', 'nobody (0.0108)']"
